Term_ID,Term,Short_Form,Category,Short_Definition,Extended_Definition,Why_It_Matters_For_PRO,Synonyms_And_Related_Terms,Example_In_Context,Source
80,Time to Opioid Use,TOO,Disease-specific endpoint,"Time from baseline to first initiation or escalation to strong opioid analgesic therapy, reflecting clinically significant pain burden.","Time to opioid use (or time to opioid initiation/escalation) is a clinical endpoint measuring the interval from randomisation or treatment initiation to the first prescription or documented use of strong opioid analgesics (WHO analgesic ladder Step 3: morphine, oxycodone, fentanyl, hydromorphone, buprenorphine) in patients who were opioid-naive or receiving only weak opioids at baseline. It serves as an objective, clinically observable correlate of patient-reported pain severity, capturing the threshold at which pain burden becomes severe enough to require potent pharmacological management. TOO is particularly relevant in myeloma bone disease and CRPC trials, where opioid initiation is a clinically meaningful and patient-impactful event. TOO is analysed as a time-to-event endpoint using Kaplan-Meier and Cox methods; it may be used as a standalone endpoint or as part of a composite pain progression endpoint alongside BPI-SF score worsening. TOO is distinct from analgesic use score (Term 87), which quantifies the overall level of analgesic consumption as a continuous variable rather than as a binary threshold-crossing event.","TOO functions as an objective clinical correlate of patient-reported pain severity, providing external validation of BPI-SF and other pain PRO scores: delays in TOO should be concordant with delays in TPP as measured by BPI-SF, and discordance between TOO and BPI-SF trajectory is a signal of either PRO measurement bias (patients under-reporting pain) or opioid prescribing variation independent of pain severity. An AI agent should cross-reference TOO events with concurrent BPI-SF scores to validate the clinical meaningfulness of observed pain PRO changes and flag trials where TOO and PRO pain endpoints yield discordant results.",TOO | Time to opioid use | Time to opioid initiation | Time to strong opioid | Opioid initiation | Opioid escalation | Time to opiate use | Strong analgesic initiation | Time to narcotic use | Time to morphine | Time to opioid analgesic | Opioid-free survival | Time to opioid requirement | Pain medication initiation,"Time to strong opioid initiation was 18.3 months in the experimental arm versus 10.6 months in the control arm (HR 0.63, p<0.001); this delay was concordant with the BPI-SF worst pain score TTD analysis (HR 0.66), validating that the PRO-measured pain benefit translated into a clinically observable reduction in opioid requirement.",Mercadante S et al. 2011 (J Pain Symptom Manage) [VERIFY] | Cleeland CS et al. 1994 (Ann Acad Med Singap) | Common usage in regulatory literature
81,PSA Progression,None,Disease-specific endpoint,A predefined rise in prostate-specific antigen level meeting PCWG criteria for biochemical disease progression in prostate cancer.,"PSA progression is defined per Prostate Cancer Working Group (PCWG3) criteria as a ≥25% increase in PSA from nadir (or baseline if no decline occurred) and an absolute rise of ≥2 ng/mL, confirmed at a second measurement ≥3 weeks later. PSA is a disease-specific serum biomarker produced by prostate epithelial cells and myeloma plasma cells express distinct immunoglobulins rather than PSA, meaning PSA progression is relevant to prostate cancer contexts in the dataset but is not applicable to multiple myeloma. PSA progression is distinct from radiographic progression and clinical progression in CRPC trials: the three modalities may diverge in timing, and PCWG3 guidance recommends that PSA progression alone should not trigger trial discontinuation without supporting radiographic or clinical evidence. PSA-based endpoints including PSA progression and PSA response rate are commonly used as secondary or exploratory endpoints in CRPC Phase III trials; FDA has not accepted PSA progression as the sole basis for approval. The relationship between PSA progression and PRO deterioration is variable, as some patients experience substantial tumour biology progression with rising PSA without immediate symptomatic impact.","PSA progression is a biochemical endpoint with indirect and often lagged PRO implications: PSA rises may precede patient-perceptible symptom worsening by weeks to months, meaning TPP (measured by BPI-SF) and radiographic progression are more direct PRO correlates than PSA progression alone. An AI agent applying this glossary to prostate cancer data must clearly flag PSA progression as a non-PRO, non-symptomatic biochemical event and avoid conflating it with patient-perceived disease worsening without concurrent PRO evidence.",PSA progression | Biochemical progression | PSA failure | PSA rise | PSA increase | PCWG PSA progression | PSA relapse | Biochemical relapse | PSA doubling time | PSA velocity | PSA-based progression | Biochemical failure | PSA progression-free survival | PSA PFS | bPFS,"Per PCWG3 criteria, PSA progression was observed in 42% of patients at 24 weeks in the control arm; however, BPI-SF worst pain scores at the time of PSA progression showed a mean increase of only 0.8 points from baseline, confirming that biochemical progression frequently preceded patient-perceptible symptom worsening in this CRPC population.",PCWG3 Criteria Scher HI et al. 2016 (J Clin Oncol) | FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE] | Common usage in regulatory literature
82,PSA Response,None,Disease-specific endpoint,"A ≥50% decline in PSA from baseline, confirmed at a consecutive assessment ≥4 weeks later, used as a biochemical response indicator in prostate cancer.","PSA response, defined as a ≥50% decline from baseline PSA value confirmed at a consecutive measurement at least 4 weeks after the initial decline, is a standard secondary endpoint in prostate cancer clinical trials signalling biochemical tumour suppression. The ≥50% threshold was established by PCWG consensus as a clinically meaningful biochemical benchmark associated with improved OS in multiple CRPC datasets, though it is not accepted as a surrogate endpoint for regulatory approval in isolation. PSA response rate — the proportion of evaluable patients achieving ≥50% PSA decline — is analogous in structure to ORR in haematological malignancies, providing a straightforward, quantifiable signal of anti-tumour activity. In clinical use, PSA response does not equate to symptomatic response: patients may achieve PSA responses with continued pain burden due to existing bone destruction or neuropathic components, or may have paradoxical PSA flares on certain therapies before genuine declines. As with PSA progression, PSA response is not applicable to multiple myeloma, where M-protein and sFLC are the equivalent disease-specific biomarker endpoints.","PSA response is a biochemical signal that should be contextualised against concurrent PRO pain data: patients achieving PSA response do not uniformly report meaningful PRO improvement, and some experience PSA flare followed by decline — meaning BPI-SF scores at PSA response timepoints provide critical evidence of whether biochemical response translates into patient-perceived benefit. An AI agent should never infer PRO improvement from PSA response alone and should require contemporaneous BPI-SF or HRQoL data to establish patient-centred benefit in prostate cancer contexts.",PSA response | PSA 50 response | ≥50% PSA decline | PSA decline | Biochemical response | PSA response rate | PSA fall | PSA reduction | PSA 50 | PCWG PSA response | PSA responder | Confirmed PSA decline | PSA partial response | Biochemical activity,"PSA response (≥50% confirmed decline) was achieved by 58% of patients in the experimental arm versus 29% in the control arm (p<0.001); exploratory PRO analysis showed that BPI-SF worst pain score improved by a mean of 1.9 points in PSA responders versus 0.4 points in non-responders, confirming directional concordance but noting that neither group exceeded the 2-point BPI-SF MID at the group level.",PCWG3 Criteria Scher HI et al. 2016 (J Clin Oncol) | Bubley GJ et al. 1999 (J Clin Oncol) | Common usage in regulatory literature
83,ECOG Performance Status,ECOG PS,Clinical concept,A 0–4 clinician-assessed ordinal scale rating a cancer patient's functional ability and degree of physical restriction from disease.,"ECOG Performance Status is a five-grade ordinal scale (0–4) developed by the Eastern Cooperative Oncology Group to standardise assessment of a cancer patient's functional capacity and physical restriction attributable to disease: Grade 0 = fully active, no restrictions; Grade 1 = restricted in strenuous activity but ambulatory and able to perform light work; Grade 2 = ambulatory and self-caring but unable to work, up >50% of waking hours; Grade 3 = limited self-care, confined to bed or chair >50% of waking hours; Grade 4 = completely disabled, no self-care, fully confined to bed/chair. ECOG PS is a ClinRO — assessed by the clinician, not self-reported by the patient — and therefore does not constitute a PRO, though it correlates strongly with patient-reported functional and physical functioning PRO domains. ECOG PS ≤2 is the standard eligibility threshold for most myeloma and oncology clinical trials; it is universally used as a stratification factor and prognostic covariate. It correlates moderately with EORTC QLQ-C30 physical functioning and global health status scores, and with EQ-5D utility values, but the correlation is imperfect because clinician-rated function and patient-perceived function diverge meaningfully in many patients. [web:22][web:25]","ECOG PS is a clinician-assessed functional score that differs systematically from patient-reported functional status: patients frequently report worse functioning than their ECOG PS implies (negative discordance), particularly for fatigue, emotional, and social functioning domains not captured by the ECOG scale. An AI agent must classify ECOG PS as a ClinRO rather than a PRO, model its correlation with — but not equivalence to — PRO functional domains, and flag PRO–ECOG discordance as evidence of dimensions of patient burden invisible to clinician assessment. [web:22][web:30]",ECOG PS | ECOG performance status | Performance status | PS | ECOG | Zubrod scale | Eastern Cooperative Oncology Group PS | Functional status | WHO performance status | KPS (related) | Karnofsky performance status | PS 0 | PS 1 | PS 2 | PS 3 | PS 4 | Functional score | Activity level | Ambulatory status | ClinRO functional assessment,"At baseline, 68% of patients had ECOG PS 0–1 and 32% had ECOG PS 2; EORTC QLQ-C30 physical functioning scores correlated moderately with ECOG PS (Spearman r = −0.52), with patients consistently reporting lower perceived functioning than their ECOG category implied, highlighting the added value of PRO physical functioning assessment beyond clinician-rated performance status. [web:22][web:30]",ECOG Performance Status Scale Oken MM et al. 1982 (Am J Clin Oncol) | Mor V et al. 1984 (J Clin Oncol) | Buccheri G et al. 1996 (Eur Respir J) [VERIFY]
84,Bone Marrow Response,None,Haematological response,"Reduction in bone marrow plasma cell percentage from baseline, assessed by aspirate or trephine biopsy, as part of IMWG response evaluation.","Bone marrow response refers to the reduction in clonal plasma cell percentage in the bone marrow aspirate or trephine biopsy following myeloma treatment, assessed as part of the IMWG Uniform Response Criteria at defined protocol timepoints. Achievement of <5% bone marrow plasma cells is a component criterion for CR confirmation, and the complete absence of clonal plasma cells by immunohistochemistry or immunofluorescence is required for sCR. Bone marrow assessment is performed by aspirate (for flow cytometry and morphological differential counts) and/or trephine biopsy (for histological assessment), with each method having different sensitivity and sampling variability. Bone marrow response assessment is inherently invasive, requiring iliac crest aspiration under local anaesthesia, which introduces a patient burden and a potential confound for concurrent PRO pain assessments if the biopsy timepoint coincides with scheduled PRO windows. In the context of MRD assessment, bone marrow samples are additionally processed by NGF or NGS at 10⁻⁵ or 10⁻⁶ sensitivity, transforming bone marrow response from a morphological into a molecular endpoint. The frequency of bone marrow assessments must be balanced against patient burden and compliance considerations in trial design.",Bone marrow biopsy procedures at response assessment timepoints can transiently worsen patient-reported pain scores — particularly BPI-SF worst pain — and confound PRO analyses if assessments are scheduled within days of invasive procedures. An AI agent should flag bone marrow biopsy scheduling relative to PRO assessment windows and recommend a ≥72-hour separation between invasive procedures and PRO completion to avoid procedural pain confounding of disease-related symptom assessments.,Bone marrow response | BM response | Bone marrow assessment | Plasma cell percentage | Bone marrow plasma cells | Bone marrow biopsy | Bone marrow aspirate | Trephine biopsy | Marrow response | BM plasma cell reduction | Morphological CR | Bone marrow CR | <5% plasma cells | Clonal plasma cell assessment | Marrow clearance,"Bone marrow response was assessed at cycle 4 and cycle 9 by aspirate morphology and NGF MRD testing; PRO assessment windows were scheduled at least 5 days after bone marrow procedures to avoid procedural pain confounding, with a protocol-specified sensitivity analysis excluding patients who completed PRO assessments within 72 hours of biopsy.",IMWG Uniform Response Criteria Kumar SK et al. 2016 (Lancet Oncol) | Paiva B et al. 2015 (Leukemia) [VERIFY] | Common usage in regulatory literature
85,Organ Response Rate,ORR (AL),Disease-specific endpoint,"The proportion of patients achieving a predefined improvement in organ function affected by amyloid deposition, assessed per consensus criteria in AL amyloidosis.","In systemic AL (light chain) amyloidosis, organ response refers to improvement in the function of organs damaged by amyloid fibril deposition — most commonly the heart, kidneys, liver, and peripheral nerves — following haematological response to treatment. Organ response criteria are organ-specific: cardiac response requires ≥2 mm reduction in interventricular septum thickness or ≥30% and ≥300 pg/mL reduction in NT-proBNP in patients with baseline NT-proBNP ≥650 pg/mL; renal response requires ≥30% reduction in proteinuria or a reduction to <0.5 g/24 hours; hepatic response requires ≥50% reduction in elevated alkaline phosphatase. Organ response is a distinct and delayed endpoint compared with haematological response (which measures M-protein and sFLC suppression) because amyloid fibril clearance from affected organs takes months to years after haematological remission. For PRO assessment in AL amyloidosis, organ response — particularly cardiac and renal response — is the primary driver of patient-perceived functional improvement, and PRO instruments must capture heart failure symptoms, breathlessness, oedema, fatigue, and neuropathic pain as the key symptom dimensions affected by organ amyloid burden. AL amyloidosis is a distinct disease from multiple myeloma, and this term is included as a comparator and adjacent disease context node.","Organ response in AL amyloidosis directly mediates PRO improvement: haematological response alone without subsequent organ response does not necessarily translate into patient-perceived symptom relief, because organ dysfunction from established amyloid deposition persists despite plasma cell suppression. An AI agent should model organ response as the key mediating node between haematological response and PRO improvement in AL amyloidosis, distinct from the more direct response–PRO relationship in multiple myeloma.",ORR (AL) | Organ response | AL amyloidosis organ response | Cardiac response | Renal response | Hepatic response | Neuropathy response | Amyloid organ response | Organ improvement | Functional organ response | AL response criteria | NT-proBNP response | Proteinuria response | Cardiac biomarker response | AL organ benefit,"Organ response was achieved in 53% of patients reaching haematological CR, with cardiac response (≥30% NT-proBNP reduction) in 41% and renal response (≥30% proteinuria reduction) in 48%; PRO analyses using the KCCQ-12 cardiac symptom score showed that cardiac organ responders reported significantly better PRO scores at 12 months than haematological CR patients without cardiac organ response, confirming that organ response — not haematological response alone — drives patient-perceived cardiac benefit.",Comenzo RL et al. 2012 (Leukemia) | Palladini G et al. 2012 (J Clin Oncol) | Common usage in regulatory literature
86,Stem Cell Mobilisation Rate,SCMR,Disease-specific endpoint,The proportion of patients successfully collecting a minimum target yield of CD34+ haematopoietic stem cells for autologous transplant following mobilisation therapy.,"Stem cell mobilisation rate is defined as the proportion of transplant-eligible myeloma patients who achieve collection of a sufficient number of CD34+ peripheral blood stem cells — typically a minimum of 2×10⁶ CD34+ cells/kg, with an optimal target of ≥4–5×10⁶ CD34+ cells/kg for double transplant eligibility — following mobilisation with granulocyte colony-stimulating factor (G-CSF) alone or in combination with plerixafor or chemomobilisation. Successful mobilisation is a prerequisite for autologous stem cell transplantation (ASCT), and mobilisation failure — defined as collection below the minimum threshold — results in transplant ineligibility and represents a clinically consequential treatment outcome. SCMR is reported as the proportion of patients meeting the minimum collection threshold and, separately, the proportion meeting the optimal threshold; median CD34+ cell yield and number of apheresis days are supporting metrics. SCMR is primarily an efficacy endpoint for mobilisation agents and conditioning regimens rather than a PRO-relevant endpoint; it is included in the glossary as a disease-context term for transplant-eligible NDMM trials. Mobilisation and apheresis procedures are associated with transient patient burden — bone pain from G-CSF, fatigue, catheter-related discomfort — that is relevant to PRO assessment design.",Stem cell mobilisation and apheresis procedures generate significant transient patient burden — particularly G-CSF-related bone pain (BPI-SF-detectable) and fatigue (EORTC QLQ-C30 fatigue subscale) — that can confound PRO assessments if scheduled during mobilisation windows. An AI agent must flag mobilisation procedure timing relative to PRO collection windows in transplant-eligible NDMM trials and recommend that PRO assessments during mobilisation be clearly annotated as procedure-period assessments to avoid misattribution of transient burden to disease status.,SCMR | Stem cell mobilisation rate | Stem cell collection | CD34+ yield | Mobilisation success | Mobilisation failure | PBSC collection | Peripheral blood stem cell collection | Apheresis yield | G-CSF mobilisation | Plerixafor | Chemomobilisation | Stem cell harvest | Transplant eligibility | CD34+ cells/kg | Collection success rate,"Successful stem cell mobilisation (≥2×10⁶ CD34+ cells/kg) was achieved in 94% of patients in the novel induction arm versus 89% in the standard arm; PRO assessments scheduled during the apheresis period showed a transient mean increase of 3.1 points in BPI-SF worst pain score attributable to G-CSF-related bone pain, which resolved within 5 days of apheresis completion and was annotated separately in the PRO dataset.",IMWG Consensus on Autologous Transplant Mikhael JR et al. 2019 (Lancet Oncol) | Giralt S et al. 2014 (Leukemia) [VERIFY] | Common usage in regulatory literature
87,Analgesic Use Score,AUS,Disease-specific endpoint,"A quantitative score derived from analgesic consumption data, categorised by WHO analgesic ladder step, used as an objective correlate of pain burden.","The analgesic use score (AUS) is a structured, ordinal or semi-quantitative scoring system that categorises and quantifies a patient's analgesic consumption according to the WHO three-step analgesic ladder: Step 1 (non-opioid analgesics: paracetamol, NSAIDs), Step 2 (weak opioids: codeine, tramadol), and Step 3 (strong opioids: morphine, oxycodone, fentanyl, hydromorphone). Some implementations assign numerical weights to each step and calculate a total AUS reflecting the overall potency and volume of analgesic consumption, analogous to a morphine equivalent daily dose (MEDD) calculation. AUS is used as an objective clinical correlate of patient-reported pain severity, providing independent validation of BPI-SF and other pain PRO instruments: increases in AUS should correspond to worsening PRO pain scores, and discordance between AUS and BPI-SF trajectories may indicate PRO reporting bias, analgesic optimisation effects, or prescribing variability independent of pain severity. AUS has been used as a co-primary endpoint alongside BPI-SF in bone pain studies including the ALSYMPCA and EGF20009 trials. AUS is distinct from TOO (Term 80), which captures only the binary initiation of strong opioids rather than quantifying the overall analgesic burden continuously.","AUS provides objective, clinician-documented corroboration of patient-reported pain scores — particularly BPI-SF worst pain and pain interference — and is the primary external validation instrument for pain PRO claims in bone pain trials. An AI agent should always cross-reference AUS trajectories with BPI-SF scores when evaluating pain PRO endpoints: concordant AUS–BPI-SF trends strengthen labelling claim credibility, while discordant patterns require investigation of confounding by analgesic titration, opioid rotation, or prescribing variation.",AUS | Analgesic use score | Analgesic consumption score | WHO ladder score | Morphine equivalent | MEDD | Morphine equivalent daily dose | Analgesic ladder | Opioid consumption | Analgesic burden | Pain medication score | Analgesic use | Opioid dose | Rescue analgesia | Pain medication burden | Step 1 analgesic | Step 2 analgesic | Step 3 analgesic | Analgesic quantification,"AUS increased by a mean of 0.8 WHO ladder steps in the control arm from baseline to week 24, corresponding to escalation from predominantly Step 1–2 to Step 2–3 analgesics; the concurrent BPI-SF worst pain score showed a 2.3-point increase in the same arm, confirming concordant PRO and analgesic burden trajectories that together supported the control arm pain progression narrative in the regulatory submission.",Cleeland CS et al. 1988 (Pain) | Portenoy RK et al. 2010 (J Pain Symptom Manage) [VERIFY] | FDA Guidance for Industry: Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics (2007) [GUIDANCE]
88,Cycle 1 Day 1,C1D1,Trial design,"The first day of the first treatment cycle, typically serving as the anchor reference date for all PRO and clinical assessments.","C1D1 is the standardised reference timepoint in oncology clinical trials denoting the date on which a patient receives the first administration of study treatment in the first treatment cycle, and it serves as the anchor date from which all subsequent scheduled assessments — clinical, laboratory, imaging, and PRO — are timed. C1D1 is distinct from the screening visit, randomisation date, and informed consent date, though in many protocols randomisation and C1D1 are the same or adjacent calendar dates; the protocol must specify whether PRO baseline assessments are scheduled relative to randomisation or C1D1, as any gap between the two can introduce pre-treatment variability in baseline PRO scores. PRO assessments scheduled on or immediately before C1D1 capture the true pre-treatment symptom baseline, while those collected at screening may reflect a different disease state if the screening-to-treatment window is prolonged. In myeloma trials with combination regimens, C1D1 is the reference for cycle-relative assessment scheduling (e.g., C1D1, C2D1, C3D1), and each cycle's Day 1 visit is commonly the designated PRO completion timepoint for that cycle. Missing the C1D1 PRO assessment is a particularly consequential data gap because it eliminates the change-from-baseline calculation for that patient across all subsequent timepoints.","The C1D1 PRO assessment is the foundational baseline data point for all change-from-baseline analyses, TTD event definitions, and responder classifications; missing C1D1 data cannot be recovered and results in patient exclusion from the primary analysis population in most SAP definitions. An AI agent must flag C1D1 PRO completion rates separately from all other timepoints, as low C1D1 completion is a critical data integrity signal that directly reduces the analysable ITT/FAS population.",C1D1 | Cycle 1 Day 1 | Day 1 Cycle 1 | First treatment day | Treatment start | Treatment initiation | Baseline visit | Pre-treatment assessment | First dose | First infusion | Cycle 1 | Day 1 | Treatment baseline | Study day 1 | Pre-dose baseline | D1C1,"PRO completion at C1D1 was 97.4% across both treatment arms; the statistical analysis plan specified that patients without a C1D1 PRO assessment would be excluded from the full analysis set, making C1D1 completion monitoring a primary site management priority throughout the trial.",ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Common usage in regulatory literature
89,Dosing Interval / Treatment Schedule,Q28D / Q21D,Trial design,"The frequency of treatment administration, defining the cycle length and consequently the timing of scheduled PRO assessments anchored to cycle days.","The treatment schedule defines the interval between repeated drug administrations, with Q28D (every 28 days, 4-week cycle) and Q21D (every 21 days, 3-week cycle) being the most common cycle lengths in haematological oncology; other schedules include Q7D (weekly), Q14D (biweekly), QD (daily oral), and Q42D (6-week cycles used for some monoclonal antibodies). The cycle length is operationally critical for PRO assessment design because PRO questionnaires are typically scheduled at Day 1 of each cycle, meaning Q21D regimens generate PRO assessments every 3 weeks and Q28D regimens every 4 weeks across the same calendar period — producing different longitudinal data densities and different exposure to within-cycle symptom fluctuations. In myeloma trials involving combination regimens with different cycle lengths across agents (e.g., daratumumab Q28D after initial Q7D loading), the transition in dosing frequency must be explicitly addressed in the PRO assessment schedule to avoid gaps or assessment timing ambiguity. The dosing schedule also determines the temporal resolution at which treatment-related toxicity dynamics — such as nadir cytopenias in chemotherapy regimens — are captured in PRO data, as within-cycle symptom variation may be missed if assessments occur only at cycle Day 1. Regulatory submissions must document the rationale for PRO assessment frequency relative to the dosing schedule and demonstrate that the schedule adequately captures clinically relevant symptom dynamics.","The treatment schedule determines the temporal resolution of longitudinal PRO data: Q21D cycles produce 17% more PRO timepoints per year than Q28D cycles, and within-cycle toxicity nadirs may be completely missed by Day 1–only assessments regardless of cycle length. An AI agent comparing PRO trajectories across trials must account for differences in assessment frequency driven by cycle schedule before attributing differences in observed PRO burden to treatment effects rather than measurement timing.",Q28D | Q21D | Every 28 days | Every 21 days | Dosing interval | Treatment schedule | Cycle length | 28-day cycle | 21-day cycle | 4-week cycle | 3-week cycle | Weekly dosing | Q7D | Daily oral | QD | Biweekly | Q14D | Treatment cycle | Dosing frequency | Cycle day | Q42D,"The experimental arm used a Q21D cycle for the triplet backbone with daratumumab dosed Q7D in cycles 1–2 then Q14D in cycles 3–6 then Q28D thereafter; the PRO schedule was anchored to the backbone cycle Day 1 (Q21D), with a protocol amendment at cycle 7 shifting to Q28D PRO assessments to align with the reduced daratumumab dosing frequency, requiring a sensitivity analysis to assess the impact of this schedule change on longitudinal PRO trajectory estimates.",ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | Common usage in regulatory literature | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE]
90,Until Progressive Disease,Until PD,Trial design,A treatment duration rule specifying that patients continue receiving study treatment until the occurrence of disease progression per protocol-defined criteria.,"Until progressive disease is a treatment duration specification in oncology trial protocols indicating that study treatment is administered continuously until the investigator documents disease progression meeting the protocol's prespecified response criteria — such as IMWG progression criteria in myeloma — or until another stopping criterion is met (unacceptable toxicity, patient withdrawal, death, or investigator decision). This open-ended treatment duration creates a variable exposure period across patients that must be explicitly addressed in the PRO assessment schedule: patients who progress early contribute only a few PRO assessments, while long-term responders contribute data across many cycles, producing an inherently unbalanced longitudinal dataset. For TTD and TTDD analyses, progression and treatment discontinuation due to progression are typically associated with censoring decisions or informative dropout depending on the estimand specification under ICH E9(R1). PRO assessments must be scheduled not only at on-treatment cycle days but also at the EOT visit (at time of progression or discontinuation) to capture the patient's PRO status at the endpoint event. In myeloma trials, ""until PD"" treatment duration means that some patients on effective regimens may remain on treatment and completing PRO assessments for years, while the majority progress within the median PFS timeframe.","Open-ended ""until PD"" treatment duration creates informative dropout by design: patients who progress — and thus stop treatment and PRO completion — typically have worse PRO trajectories than continuing patients, making missing data MNAR by assumption. An AI agent must flag ""until PD"" protocols as high missing-data-risk designs and verify that the SAP includes pre-specified MNAR sensitivity analyses for all longitudinal PRO endpoints.",Until PD | Until progressive disease | Until progression | Continuous treatment | Open-ended treatment | Treatment until progression | Progression-driven discontinuation | Until disease progression | Treat until failure | Continuous dosing | Until progression or unacceptable toxicity | Until PD or toxicity | Indefinite treatment,"Treatment was administered until progressive disease, unacceptable toxicity, or withdrawal of consent; given the 'until PD' design, the PRO SAP pre-specified a tipping-point MNAR sensitivity analysis acknowledging that patients discontinuing for progression — the primary source of missing data — were assumed to have worse unobserved PRO outcomes than their last observed scores.",ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | FDA Guidance for Industry: Missing Data in Clinical Trials (2019) [GUIDANCE] | Common usage in regulatory literature
91,End of Treatment Visit,EOT,Trial design,The final protocol-mandated clinical and PRO assessment conducted at or shortly after treatment discontinuation for any reason.,"The end of treatment (EOT) visit is a scheduled protocol assessment conducted at the time of or immediately following a patient's last dose of study treatment, capturing the patient's clinical status and PRO scores at the moment of treatment cessation regardless of the reason for discontinuation. EOT visits are critical for PRO analysis because they provide the last on-treatment observation for patients who discontinue due to progression, toxicity, or withdrawal, and anchor the transition from on-treatment to post-treatment follow-up PRO assessment schedules. The EOT PRO assessment is particularly important for TTD and TTDD analyses, as it may constitute the defining deterioration event for patients who show PRO worsening coinciding with treatment cessation, and its timing and completion rate directly affect the validity of censoring in time-to-event PRO analyses. EOT visits must be distinguished from final-assessment visits in long-term follow-up: patients who complete planned treatment (e.g., fixed-duration regimens) have EOT visits at treatment completion in a non-distressed state, while patients discontinuing for progression or toxicity have EOT visits coinciding with clinical deterioration, creating a heterogeneous PRO dataset at this timepoint. Protocol windows for EOT PRO completion (typically within 7–14 days of last dose) must be defined and enforced to ensure temporal alignment of EOT PRO scores with the clinical discontinuation event.","EOT PRO assessments capture symptom status at the clinically critical transition point between on-treatment and post-treatment observation, making them essential for characterising the PRO impact of treatment discontinuation and for correctly attributing censoring in TTD analyses. An AI agent should flag low EOT PRO completion rates as a major missing data risk, particularly for patients discontinuing due to progression or toxicity, whose EOT PRO scores are the most clinically informative and the most likely to be MNAR.",EOT | End of treatment | End of treatment visit | Treatment discontinuation visit | Last dose visit | Off-treatment assessment | Final on-treatment assessment | Discontinuation visit | Treatment completion visit | Last study drug visit | Post-last-dose visit | EOT PRO | Treatment termination visit,"EOT PRO completion was 74% overall, falling to 61% among patients discontinuing due to disease progression; sensitivity analyses treating progression-related EOT non-completers as having experienced PRO deterioration events at the EOT date strengthened the primary TTD result (HR 0.64 vs. 0.71 in the primary analysis), confirming the robustness of the finding under this conservative MNAR assumption.",ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | NRC Report on Prevention and Treatment of Missing Data (2010) [GUIDANCE]
92,Follow-up Visit,FU,Trial design,"A scheduled post-treatment assessment occurring after the EOT visit, used to monitor disease status, survival, and post-treatment PRO trajectory.","Follow-up visits are protocol-mandated assessments conducted at regular intervals after a patient completes or discontinues study treatment, serving to monitor disease status, document progression events, collect survival data, and — in PRO-inclusive designs — capture post-treatment patient-reported outcomes. Follow-up visits are particularly important in myeloma trials with ""until PD"" treatment design, where patients who progress and discontinue treatment continue to be followed for OS, subsequent therapy data (TTNT), and sometimes post-treatment PRO assessments. Post-treatment PRO data collected during follow-up visits provide critical evidence for long-term HRQoL trajectory, capturing the patient experience after treatment cessation including recovery from toxicity, disease progression symptom burden, and the impact of subsequent salvage therapy initiation. The frequency of follow-up PRO assessments is typically reduced relative to on-treatment schedules (e.g., every 12 weeks post-EOT vs. every cycle on-treatment) to balance data richness against patient burden in a period when many patients are receiving subsequent therapies that complicate PRO attribution. Regulatory submissions should specify whether post-treatment PRO data are used in the primary analysis, as sensitivity analyses, or as exploratory endpoints, and should address the interpretation challenge posed by subsequent therapies confounding post-EOT PRO scores.","Post-treatment follow-up PRO assessments capture the long-term patient experience beyond treatment — including both recovery from treatment-related toxicity and disease progression burden — but are confounded by subsequent therapies, making interpretation challenging without stratification by post-EOT treatment status. An AI agent should distinguish on-treatment PRO assessments from follow-up PRO assessments and flag the onset of subsequent therapy as a confounding intercurrent event in any post-EOT PRO analysis.",Follow-up visit | FU visit | Post-treatment visit | Off-treatment follow-up | Post-EOT visit | Survival follow-up | Post-discontinuation visit | Long-term follow-up | Follow-up assessment | Post-treatment PRO | FU PRO | Ongoing follow-up | Follow-up period | FU schedule,"Post-treatment follow-up PRO assessments were scheduled every 12 weeks after EOT; analyses of post-EOT EORTC QLQ-C30 global health status trajectories were pre-specified as exploratory, with a sensitivity analysis restricting to patients who had not initiated subsequent anti-myeloma therapy to reduce confounding from salvage regimen effects on PRO scores.",ICH E9(R1) Addendum on Estimands (2019) [GUIDANCE] | FDA Guidance for Industry: Patient-Reported Outcome Measures (2009) [GUIDANCE] | Common usage in regulatory literature
